"","Player","Pos","Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","AV","Round","Forty_Imputed","Vertical_Imputed","BenchReps_Imputed","BroadJump_Imputed","Cone_Imputed","Shuttle_Imputed"
"52","Rob Hunt","C",76,301,4.96,34.5,31,108,7.53,4.48,0,8,4.96,34.5,31,108,7.53,4.48
"53","Richie Incognito","C",75,305,4.84,NA,29,NA,NA,NA,15,3,4.84,27.5,29,101,7.68,4.63
"54","Scott Mruczkowski","C",76,321,5.29,NA,28,NA,NA,NA,3,7,5.29,27.5,28,101,7.68,4.63
"55","Duke Preston","C",77,311,NA,32,21,96,7.57,4.45,6,4,5.24,32,21,96,7.57,4.45
"56","Chris Spencer","C",75,309,5.21,32,26,105,8.06,4.59,15,1,5.21,32,26,105,8.06,4.59
"57","Ben Wilkerson","C",75,299,5.46,NA,NA,NA,NA,NA,2,8,5.46,27.5,26,101,7.68,4.63
"58","Chris Chester","C",75,303,4.83,31.5,27,106,7.31,4.5,9,2,4.83,31.5,27,106,7.31,4.5
"59","Mike Degory","C",77,305,5.42,26,24,98,8.03,4.67,0,8,5.42,26,24,98,8.03,4.67
"60","Greg Eslinger","C",75,292,5.13,30,28,101,7.59,4.68,0,6,5.13,30,28,101,7.59,4.68
"61","Nick Mangold","C",76,300,5.05,27.5,24,104,7.47,4.36,26,1,5.05,27.5,24,104,7.47,4.36
"62","Will Montgomery","C",75,312,5.12,29.5,35,104,7.4,4.43,5,7,5.12,29.5,35,104,7.4,4.43
"63","Marvin Philip","C",73,307,5.24,27,27,96,7.85,4.69,0,8,5.24,27,27,96,7.85,4.69
"64","Donovan Raiola","C",74,300,5.55,25,20,90,8.17,4.97,0,8,5.55,25,20,90,8.17,4.97
"65","Pat Ross","C",75,301,4.99,NA,23,NA,NA,NA,0,8,4.99,27.5,23,101,7.68,4.63
"66","Doug Datish","C",76,302,5.13,26,31,102,7.51,4.65,0,6,5.13,26,31,102,7.51,4.65
"67","Mark Fenton","C",76,290,5.15,NA,22,NA,NA,NA,0,8,5.15,27.5,22,101,7.68,4.63
"68","Dustin Fry","C",75,314,5.28,NA,34,NA,NA,NA,0,5,5.28,27.5,34,101,7.68,4.63
"69","Leroy Harris","C",74,302,5.35,24.5,29,96,8,4.8,3,4,5.35,24.5,29,96,8,4.8
"70","Ryan Kalil","C",75,299,4.96,26,34,104,7.5,4.34,17,2,4.96,26,34,104,7.5,4.34
"71","Enoka Lucas","C",75,303,5.46,27.5,34,104,8.1,4.84,0,8,5.46,27.5,34,104,8.1,4.84
"72","Drew Mormino","C",75,299,5.32,28,27,105,7.48,4.53,0,8,5.32,28,27,105,7.48,4.53
"73","Dan Mozes","C",75,293,5.35,25.5,28,101,7.98,4.84,0,8,5.35,25.5,28,101,7.98,4.84
"74","Samson Satele","C",75,300,5.24,33,25,101,7.47,4.29,20,2,5.24,33,25,101,7.47,4.29
"75","Scott Stephenson","C",75,297,5.2,29.5,21,99,7.62,4.57,0,8,5.2,29.5,21,99,7.62,4.57
"76","Steve Justice","C",75,293,5.24,21,23,98,7.4,4.58,1,6,5.24,21,23,98,7.4,4.58
"77","Kory Lichtensteiger","C",74,298,5.25,23,NA,104,7.6,4.56,8,4,5.25,23,26,104,7.6,4.56
"78","Mike Pollak","C",75,301,4.99,25,29,110,7.49,4.47,21,2,4.99,25,29,110,7.49,4.47
"79","Jamey Richard","C",77,295,5.22,26.5,22,107,7.58,4.69,9,7,5.22,26.5,22,107,7.58,4.69
"80","Matt Spanos","C",77,317,5.47,22.5,NA,104,7.9,4.92,0,8,5.47,22.5,26,104,7.9,4.92
"81","John Sullivan","C",75,301,5.35,30,21,103,7.62,4.55,16,6,5.35,30,21,103,7.62,4.55
"82","Cody Wallace","C",76,296,5.3,30.5,26,113,7.45,4.55,3,4,5.3,30.5,26,113,7.45,4.55
"83","Rob Bruggeman","C",76,293,5.05,NA,30,NA,NA,NA,0,8,5.05,27.5,30,101,7.68,4.63
"84","Antoine Caldwell","C",75,309,5.24,28,23,111,7.96,5.04,9,3,5.24,28,23,111,7.96,5.04
"85","Jon Cooper","C",74,291,5.09,29.5,31,105,7.46,4.6,1,8,5.09,29.5,31,105,7.46,4.6
"86","Robby Felix","C",75,302,5.2,29,33,97,7.96,4.73,0,8,5.2,29,33,97,7.96,4.73
"87","Alex Fletcher","C",74,297,5.39,28,30,96,7.78,4.65,0,8,5.39,28,30,96,7.78,4.65
"88","Brett Helms","C",74,286,5.39,NA,25,NA,NA,NA,0,8,5.39,27.5,25,101,7.68,4.63
"89","Jonathan Luigs","C",76,301,5.14,31,26,99,7.69,4.79,1,4,5.14,31,26,99,7.69,4.79
"90","Alex Mack","C",76,311,5.17,NA,NA,NA,NA,NA,19,1,5.17,27.5,26,101,7.68,4.63
"91","A.Q. Shipley","C",73,304,5.19,31,33,100,7.46,4.4,11,7,5.19,31,33,100,7.46,4.4
"92","Max Unger","C",77,309,5.26,24.5,22,93,7.39,4.5,13,2,5.26,24.5,22,93,7.39,4.5
"93","Edwin Williams","C",74,308,5.4,28.5,22,99,8.15,4.98,5,8,5.4,28.5,22,99,8.15,4.98
"94","Eric Wood","C",76,310,5.19,30.5,30,99,7.56,4.51,15,1,5.19,30.5,30,99,7.56,4.51
"95","Jeff Byers","C",75,301,5.04,NA,33,NA,NA,NA,5,8,5.04,27.5,33,101,7.68,4.63
"96","Erik Cook","C",78,318,5.55,25,19,94,8.24,4.99,1,7,5.55,25,19,94,8.24,4.99
"97","Joe Hawley","C",75,297,5.21,26,35,105,7.5,4.73,10,4,5.21,26,35,105,7.5,4.73
