"","Player","Pos","Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","Year","Pfr_ID","AV","Team","Round","Pick"
"284","Chris Herndon","TE",76,253,NA,NA,21,NA,NA,NA,2018,"",0,"",NA,NA
"285","Hayden Hurst","TE",76,250,4.67,31.5,NA,120,7.19,4.37,2018,"HursHa00",0,"",NA,NA
"286","Ryan Izzo","TE",77,256,4.94,33,18,110,7.15,4.43,2018,"IzzoRy00",0,"",NA,NA
"287","Jaylen Samuels","TE",71,225,4.54,34.5,18,121,6.93,4.28,2018,"SamuJa00",0,"",NA,NA
"288","Dalton Schultz","TE",77,244,4.75,32,15,120,7,4.4,2018,"",0,"",NA,NA
"289","Durham Smythe","TE",77,253,4.81,31,18,110,7.17,4.23,2018,"SmytDu00",0,"",NA,NA
"290","Ian Thomas","TE",76,259,4.74,36,NA,123,7.15,4.2,2018,"ThomIa00",0,"",NA,NA
"291","Jordan Thomas-02","TE",77,265,4.74,27,16,111,7.5,4.75,2018,"",0,"",NA,NA
"292","David Wells","TE",78,256,4.75,33,20,116,7.5,4.59,2018,"",0,"",NA,NA
"293","Dante Pettis ","WR",72,186,NA,NA,NA,NA,NA,NA,2018,"PettDa00",0,"",NA,NA
"294","Marcell Ateman","WR",76,216,4.62,34,13,121,7.07,4.25,2018,"AtemMa00",0,"",NA,NA
"295","Braxton Berrios","WR",69,184,NA,NA,11,NA,NA,NA,2018,"BerrBr00",0,"",NA,NA
"296","Equanimeous St. brown","WR",77,214,4.48,NA,20,NA,NA,NA,2018,"St.BEq00",0,"",NA,NA
"297","Deontay Burnett","WR",72,186,NA,NA,NA,NA,NA,NA,2018,"BurnDe00",0,"",NA,NA
"298","Deon Cain","WR",74,202,4.43,33.5,11,115,6.71,4.37,2018,"CainDe00",0,"",NA,NA
"299","Antonio Callaway","WR",71,200,4.41,34,NA,121,NA,NA,2018,"CallAn00",0,"",NA,NA
"300","Dylan Cantrell","WR",75,226,4.59,38.5,18,130,6.56,4.03,2018,"CantDy00",0,"",NA,NA
"301","D.J. Chark","WR",75,199,4.34,40,16,129,NA,NA,2018,"",0,"",NA,NA
"302","Simmie Cobbs","WR",75,220,4.64,30,11,113,6.7,4.32,2018,"CobbSi00",0,"",NA,NA
"303","Keke Coutee","WR",70,181,4.43,34.5,14,113,6.93,4.15,2018,"CoutKe00",0,"",NA,NA
"304","Robert Foster","WR",74,196,4.41,31,NA,116,6.9,4.2,2018,"",0,"",NA,NA
"305","Michael Gallup","WR",73,205,4.51,36,10,122,6.95,4.37,2018,"GallMi00",0,"",NA,NA
"306","Davon Grayson","WR",73,199,4.51,34.5,19,124,NA,NA,2018,"",0,"",NA,NA
"307","Daesean Hamilton","WR",73,203,NA,34.5,NA,118,6.84,4.15,2018,"HamiDa01",0,"",NA,NA
"308","Quadree Henderson","WR",68,192,4.5,32.5,12,120,6.89,4.28,2018,"HendQu00",0,"",NA,NA
"309","Darren Carrington II","WR",74,199,NA,36,NA,120,NA,NA,2018,"",0,"",NA,NA
"310","Richie James","WR",70,183,4.48,35.5,6,122,6.87,4.16,2018,"",0,"",NA,NA
"311","Christian Kirk","WR",70,201,4.47,35.5,20,115,7.09,4.45,2018,"KirkCh01",0,"",NA,NA
"312","Chris Lacy","WR",75,205,4.51,33.5,11,120,NA,NA,2018,"",0,"",NA,NA
"313","Jordan Lasley","WR",73,203,4.5,34.5,8,112,NA,4.19,2018,"LaslJo00",0,"",NA,NA
"314","Allen Lazard","WR",77,227,4.55,38,17,122,NA,NA,2018,"LazaAl00",0,"",NA,NA
"315","Tavares Martin","WR",73,177,4.8,31.5,NA,NA,NA,NA,2018,"",0,"",NA,NA
"316","Ray-ray McCloud","WR",69,190,4.53,34.5,13,113,NA,NA,2018,"",0,"",NA,NA
"317","Anthony Miller","WR",71,201,NA,NA,22,NA,NA,NA,2018,"MillAn02",0,"",NA,NA
"318","Steven Mitchell","WR",70,189,4.56,32.5,13,121,6.75,4.4,2018,"",0,"",NA,NA
"319","D.J. Moore-02","WR",72,210,4.42,39.5,15,132,6.95,4.07,2018,"MoorD.00",0,"",NA,NA
"320","Jmon Moore","WR",75,207,4.6,38,21,120,6.56,4.04,2018,"",0,"",NA,NA
"321","Cam Phillips","WR",72,201,NA,NA,NA,NA,NA,NA,2018,"PhilCa01",0,"",NA,NA
"322","Byron Pringle","WR",73,203,4.46,33.5,15,120,6.87,4.4,2018,"PrinBy00",0,"",NA,NA
"323","Trey Quinn","WR",71,203,4.55,33.5,17,116,6.91,4.19,2018,"QuinTr00",0,"",NA,NA
"324","Calvin Ridley","WR",72,189,4.43,31,15,110,6.88,4.41,2018,"RidlCa00",0,"",NA,NA
"325","Korey Robertson","WR",73,212,4.56,34,13,123,NA,NA,2018,"RobeKo00",0,"",NA,NA
"326","Jaleel Scott","WR",77,218,4.56,34.5,16,124,7.2,4.4,2018,"",0,"",NA,NA
"327","Trequan Smith","WR",74,203,4.49,37.5,12,130,6.97,4.5,2018,"",0,"",NA,NA
"328","Courtland Sutton","WR",75,218,4.54,35.5,18,124,6.57,4.11,2018,"SuttCo00",0,"",NA,NA
"329","Auden Tate","WR",77,228,4.68,31,NA,112,NA,NA,2018,"TateAu00",0,"",NA,NA
"330","Marquez Valdes-Scantling","WR",76,206,4.37,30.5,15,124,NA,NA,2018,"",0,"",NA,NA
"331","James Washington","WR",71,213,4.54,34.5,14,120,7.11,4.32,2018,"WashJa00",0,"",NA,NA
"332","Jester Weah","WR",74,211,4.43,38,15,129,7.24,4.41,2018,"WeahJe00",0,"",NA,NA
"333","Karaun White","WR",73,206,4.52,33.5,24,118,7.16,4.57,2018,"",0,"",NA,NA
"334","Jake Wieneke","WR",76,221,4.67,34,9,114,7.24,4.37,2018,"",0,"",NA,NA
"335","Cedrick Wilson-02","WR",74,197,4.55,37,9,121,6.89,4.23,2018,"WilsCe01",0,"",NA,NA
"336","Javon Wims","WR",75,215,4.53,33.5,NA,113,7,NA,2018,"WimsJa00",0,"",NA,NA
